Time,#InQueue,#Completed,#Failed,#Workers
1498135891,0,0,0,3
1498135898,1,0,0,3
1498135904,2,0,0,4
1498135962,1,1,0,4
1498135966,1,2,0,4
1498135971,2,2,0,4
1498136055,1,3,0,4
1498136060,2,3,0,4
1498136070,1,4,0,4
1498136074,2,4,0,4
1498136144,2,4,0,5
1498136155,1,5,0,5
1498136163,2,5,0,5
1498136174,1,6,0,5
1498136183,2,6,0,5
1498136244,1,7,0,5
1498136251,2,7,0,5
1498136266,1,8,0,5
1498136272,2,8,0,5
1498136313,1,9,0,5
1498136319,2,9,0,5
1498136335,1,10,0,5
1498136342,2,10,0,5
1498136383,1,11,0,5
1498136389,2,11,0,5
1498136402,1,12,0,5
1498136408,2,12,0,5
1498136448,1,13,0,5
1498136454,2,13,0,5
1498136466,1,14,0,5
1498136472,2,14,0,5
1498136505,1,15,0,5
1498136512,2,15,0,5
1498136523,2,15,0,3
1498136524,2,15,0,4
zsh: no such file or directory: ./wlgen
Time,#InQueue,#Completed,#Failed,#Workers
1498136755,0,0,0,1
1498136762,2,0,0,1
1498136812,2,0,0,2
1498137072,2,0,0,3
1498137189,1,1,0,3
1498137195,2,1,0,3
1498137234,1,2,0,3
1498137237,2,2,0,3
1498137333,1,3,0,3
1498137342,1,3,0,4
1498137343,2,3,0,4
1498137385,1,4,0,4
1498137390,2,4,0,4
1498137440,1,5,0,4
1498137444,2,5,0,4
1498137473,1,6,0,4
1498137480,2,6,0,4
1498137543,1,7,0,4
1498137550,2,7,0,4
1498137577,1,8,0,4
1498137587,2,8,0,4
1498137630,1,9,0,4
1498137633,2,9,0,4
1498137681,1,10,0,4
1498137687,2,10,0,4
1498137737,1,11,0,4
1498137744,2,11,0,4
1498137788,1,12,0,4
1498137794,2,12,0,4
1498137827,1,13,0,4
1498137831,2,13,0,4
1498137889,1,14,0,4
1498137898,2,14,0,4
1498137932,1,15,0,4
1498137935,2,15,0,4
1498137984,1,16,0,4
1498137989,2,16,0,4
1498138029,1,17,0,4
1498138039,2,17,0,4
1498138084,1,18,0,4
1498138091,2,18,0,4
1498138131,1,19,0,4
1498138138,2,19,0,4
1498138181,1,20,0,4
1498138186,2,20,0,4
1498138235,1,21,0,4
1498138239,2,21,0,4
1498138282,1,22,0,4
1498138285,2,22,0,4
1498138338,1,23,0,4
1498138342,2,23,0,4
1498138374,1,24,0,4
1498138382,2,24,0,4
1498138437,1,25,0,4
1498138440,2,25,0,4
1498138476,1,26,0,4
1498138480,2,26,0,4
1498138533,1,27,0,4
1498138545,2,27,0,4
1498138574,1,28,0,4
1498138585,2,28,0,4
1498138639,1,29,0,4
1498138648,2,29,0,4
1498138679,1,30,0,4
1498138687,2,30,0,4
1498138735,1,31,0,4
1498138749,2,31,0,4
1498138774,1,32,0,4
1498138780,2,32,0,4
1498138817,1,33,0,4
1498138823,2,33,0,4
1498138841,1,34,1,4
1498138856,2,34,1,4
1498138880,2,34,1,5
1498138903,2,34,1,3
1498138923,1,35,1,3
1498138933,2,35,1,3
1498138967,1,36,1,3
1498138977,2,36,1,3
1498139089,1,37,1,3
1498139097,2,37,1,3
1498139127,1,38,1,3
1498139133,2,38,1,3
1498139221,2,38,1,4
1498139251,1,39,1,4
1498139267,0,40,1,4
1498139268,1,40,1,4
1498139274,2,40,1,4
1498139354,1,41,1,4
1498139362,2,41,1,4
1498139370,1,42,1,4
1498139376,2,42,1,4
1498139460,1,43,1,4
1498139468,2,43,1,4
1498139472,1,44,1,4
1498139480,2,44,1,4
1498139521,2,44,1,5
1498139555,1,45,1,5
1498139564,2,45,1,5
1498139572,1,46,1,5
1498139582,2,46,1,5
